measuring
4.18
4.25
4.3
4.3
4.33
4.35
4.45
4.49
4.52
4.79
4.83
4.87
4.89
4.9
4.92
4.92
4.97
5
5.05
5.06
5.09
5.15
5.22
5.23
5.23
5.32
5.33
5.35
5.45
5.52
